TI,authors
A SOCIAL NETWORK-BASED INFERENCE MODEL FOR VALIDATING CUSTOMER PROFILE DATA,"Sung-Hyuk Park, Soon-Young  Huh, Wonseok  Oh, Sang Pil  Han"
WEB 2.0 ENVIRONMENTAL SCANNING AND ADAPTIVE DECISION SUPPORT FOR BUSINESS MERGERS AND ACQUISITIONS,"Raymond Y. K. Lau, Stephen S. Y.  Liao, K. F.  Wong, Dickson K. W.  Chiu"
NETWORK-BASED MODELING AND ANALYSIS OF SYSTEMIC RISK IN BANKING SYSTEMS,"Daning Hu, J. Leon  Zhao, Zhimin  Hua, Michael C. S.  Wong"
METAFRAUD: A META-LEARNING FRAMEWORK FOR DETECTING FINANCIAL FRAUD,"Ahmed Abbasi, Conan  Albrecht, Anthony  Vance, James  Hansen"
A HIDDEN MARKOV MODEL FOR COLLABORATIVE FILTERING,"Nachiketa Sahoo, Param Vir  Singh, Tridas  Mukhopadhyay"
Network Positions and Contributions to Online Public Goods: The Case of Chinese Wikipedia,"Xiaoquan (Michael) Zhang, Chong (Alex)  Wang"
Content Contribution for Revenue Sharing and Reputation in Social Media: A Dynamic Structural Model,"Qian Tang, Bin  Gu, Andrew B.  Whinston"
"Hacker Behavior, Network Effects, and the Security Software Market","Debabrata Dey, Atanu  Lahiri, Guoying  Zhang"
Co-opetition Between Differentiated Platforms in Two-Sided Markets,"Ravi Mantena, Rajib L.  Saha"
Theory and Analysis of Company-Sponsored Value Co-Creation,"Li Chen, James R.  Marsden, Zhongju  Zhang"
A Data-Driven Approach to Measure Web Site Navigability,"Xiao Fang, Paul Jen-Hwa  Hu, Michael  Chau, Han-fen  Hu, Zhuo  Yang, Olivia R. Liu  Sheng"
Hybrid Relational-Contractual Governance for Business Process Outsourcing,"Arun Rai, Mark  Keil, Rob  Hornyak, Kim  Wuellenweber"
Dual Role of IT-Assisted Communication in Patient Care: A Validated Structure-Process-Outcome Framework,"Corey M. Angst, Sarv  Devaraj, John  D'Arcy"
Understanding Contingencies Associated with the Early Adoption of Customer-Facing Web Portals,"Aaron Baird, Michael F.  Furukawa, T. S.  Raghu"
Resource Structuring or Capability Building? An Empirical Study of the Business Value of Information Technology,"Nianxin Wang, Huigang  Liang, Weijun  Zhong, Yajiong  Xue, Jinghua  Xiao"
The Productivity of Information Technology Investments: New Evidence from IT Labor Data,"Prasanna Tambe, Lorin M.  Hitt"
An Empirical Analysis of the Contractual and Information Structures of Business Process Outsourcing Relationships,"Deepa Mani, Anitesh  Barua, Andrew B.  Whinston"
Postrelease Testing and Software Release Policy for Enterprise-Level Systems,"Zhengrui Jiang, Sumit  Sarkar, Varghese S.  Jacob"
The Effects of Social Network Structure on Enterprise Systems Success: A Longitudinal Multilevel Analysis,"Sharath Sasidharan, Radhika  Santhanam, Daniel J.  Brass, Vallabh  Sambamurthy"
"What's in a ""Name""? Impact of Use of Customer Information in E-Mail Advertisements","Sunil Wattal, Rahul  Telang, Tridas  Mukhopadhyay, Peter  Boatwright"
From Business Intelligence to Competitive Intelligence: Inferring Competitive Measures Using Augmented Site-Centric Data,"Zhiqiang (Eric) Zheng, Peter  Fader, Balaji  Padmanabhan"
Does the Web Reduce Customer Service Cost? Empirical Evidence from a Call Center,"Anuj Kumar, Rahul  Telang"
Electronic Health Records Assimilation and Physician Identity Evolution: An Identity Theory Perspective,"Abhay Nath Mishra, Catherine  Anderson, Corey M.  Angst, Ritu  Agarwal"
Design Principles of Integrated Information Platform for Emergency Responses: The Case of 2008 Beijing Olympic Games,"Lili Yang, Guofeng  Su, Hongyong  Yuan"
"In Search of Efficient Flexibility: Effects of Software Component Granularity on Development Effort, Defects, and Customization Effort","Ramanath Subramanyam, Narayan  Ramasubbu, M. S.  Krishnan"
Pricing Models for Online Advertising: CPM vs. CPC,"Kursad Asdemir, Nanda  Kumar, Varghese S.  Jacob"
A Computational Analysis of Bundle Trading Markets Design for Distributed Resource Allocation,"Zhiling Guo, Gary J.  Koehler, Andrew B.  Whinston"
"Information, Technology, and Information Worker Productivity","Sinan Aral, Erik  Brynjolfsson, Marshall  Van Alstyne"
The Impact of IT-Related Spillovers on Long-Run Productivity: An Empirical Analysis,"Young Bong Chang, Vijay  Gurbaxani"
The Learning Curve of IT Knowledge Workers in a Computing Call Center,"Youngsoo Kim, Ramayya  Krishnan, Linda  Argote"
Advertising Strategies in Electronic Retailing: A Differential Games Approach,"Dengpan Liu, Subodha  Kumar, Vijay S.  Mookerjee"
Institutional Influences on Information Systems Security Innovations,"Carol Hsu, Jae-Nam  Lee, Detmar W.  Straub"
The Boundaries of Trust and Risk: The Quadratic Moderating Role of Institutional Structures,"David Gefen, Paul A.  Pavlou"
Content Provision Strategies in the Presence of Content Piracy,"Monica Johar, Nanda  Kumar, Vijay  Mookeijee"
Putting Money Where the Mouths Are: The Relation Between Venture Financing and Electronic Word-of-Mouth,"Rohit Aggarwal, Ram  Gopal, Alok  Gupta, Harpreet  Singh"
The Cross-Purposes of Cross-Posting: Boundary Reshaping Behavior in Online Discussion Communities,"Brian S. Butler, Xiaoqing  Wang"
Using Real Options to Investigate the Market Value of Virtual World Businesses,"Sung-Byung Yang, Jee-Hae  Lim, Wonseok  Oh, Artimesh  Animesh, Alain  Pinsonneault"
Performance-Based Advertising: Advertising as Signals of Product Quality,"Juan Feng, Jinhong  Xie"
Do Electronic Linkages Reduce the Bullwhip Effect? An Empirical Analysis of the US Manufacturing Supply Chains,"Yuliang Yao, Kevin Xiaoguo  Zhu"
"Music Blogging, Online Sampling, and the Long Tail","Sanjeev Dewan, Jui  Ramaprasad"
The Cost Impact of Spam Filters: Measuring the Effect of Information System Technologies in Organizations,"Marco Caliendo, Michel  Clement, Dominik  Papies, Sabine  Scheel-Kopeinig"
ON THE USE OF NEUROPHYSIOLOGICAL TOOLS IN IS RESEARCH: DEVELOPING A RESEARCH AGENDA FOR NEUROIS,"Angelika Dimoka, Rajiv D.  Banker, Izak  Benbasat, Fred D.  Davis, Alan R.  Dennis, David  Gefen, Alok  Gupta, Anja  Lschebeck, Peter H.  Kenning, Paul A.  Pavlou, Gernot  Mueller-Putz, Rene  Riedl, Jan  vom Brocke, Bernd  Weber"
"COMPARING PLS TO REGRESSION AND LISREL: A RESPONSE TO MARCOULIDES, CHIN, AND SAUNDERS","Dale L. Goodhue, William  Lewis, Ron  Thompson"
"GENERALIZATION AND INDUCTION: MISCONCEPTIONS, CLARIFICATIONS, AND A CLASSIFICATION OF INDUCTION","Eric W. K. Tsang, John N.  Williams"
CONCEPTUALIZING GENERALIZABILITY: NEW CONTRIBUTIONS AND A REPLY,"Allen S. Lee, Richard L.  Baskerville"
THE ROLES OF THEORY IN CANONICAL ACTION RESEARCH,"Robert M. Davison, Maris G.  Martinsons, Carol X. J.  Ou"
PRINCIPLES FOR CONDUCTING CRITICAL REALIST CASE STUDY RESEARCH IN INFORMATION SYSTEMS,"Jr.  Donald Wynn, Clay K.  Williams"
HOW TO CONDUCT A FUNCTIONAL MAGNETIC RESONANCE (FMRI) STUDY IN SOCIAL SCIENCE RESEARCH,Angelika Dimoka
BUILDING MEMBER ATTACHMENT IN ONLINE COMMUNITIES: APPLYING THEORIES OF GROUP IDENTITY AND INTERPERSONAL BONDS,"Yuqing Ren, F. Maxwell  Harper, Sara  Drenner, Loren  Terveen, Sara  Kiesler, John  Riedl, Robert E.  Kraut"
A KNOWLEDGE-BASED MODEL OF RADICAL INNOVATION IN SMALL SOFTWARE FIRMS,"Jessica Luo Carlo, Kalle  Lyytinen, Gregory M.  Rose"
INFORMATION TECHNOLOGY IMPLEMENTERS' RESPONSES TO USER RESISTANCE: NATURE AND EFFECTS,"Suzanne Rivard, Liette  Lapointe"
STANDARDS COMPETITION IN THE PRESENCE OF DIGITAL CONVERSION TECHNOLOGY: AN EMPIRICAL ANALYSIS OF THE FLASH MEMORY CARD MARKET,"Charles Zhechao Liu, Chris F.  Kemerer, Sandra A.  Slaughter, Michael D.  Smith"
A RESEARCH NOTE ON REPRESENTING PART-WHOLE RELATIONS IN CONCEPTUAL MODELING,"Gove N. Allen, Salvatore T.  March"
THE HOLE IN THE WHOLE: A RESPONSE TO ALLEN AND MARCH,"Graeme Shanks, Ron  Weber"
DOES PLS HAVE ADVANTAGES FOR SMALL SAMPLE SIZE OR NON-NORMAL DATA?,"Dale L. Goodhue, William  Lewis, Ron  Thompson"
ASSESSING COMMON METHOD BIAS: PROBLEMS WITH THE ULMC TECHNIQUE,"Wynne W. Chin, Jason Bennett  Thatcher, Ryan T.  Wright"
Novelty-Knowledge Alignment: A Theory of Design Convergence in Systems Development,Amrit Tiwana
The Effect of an Initial Budget and Schedule Goal on Software Project Escalation,"Jong Seok Lee, Mark  Keil, Vijay  Kasi"
"What's the Weather Like? The Effect of Team Learning Climate, Empowerment Climate, and Gender on Individuals' Technology Exploration and Use","Likoebe M. Maruping, Massimo  Magni"
Contract Performance in Offshore Systems Development: Role of Control Mechanisms,"Shirish C. Srivastava, Thompson S. H.  Teo"
The Impact of Information Technology Investments on Downside Risk of the Firm: Alternative Measurement of the Business Value of IT,"Samual Otim, Kevin E.  Dow, Varun  Grover, Jeffrey A.  Wong"
Vertical Differentiation and a Comparison of Online Advertising Models,"Mei Lin, Xuqing  Ke, Andrew B.  Whinston"
Differential Effects of Provider Recommendations and Consumer Reviews in E-Commerce Transactions: An Experimental Study,"Alexander Benlian, Ryad  Titah, Thomas  Hess"
Attracted to or Locked In? Predicting Continuance Intention in Social Virtual World Services,"Zhongyun (Phil) Zhou, Yulin  Fang, Douglas R.  Vogel, Xiao-Ling  Jin, Xi  Zhang"
The Effects of Self-Regulated Learning Processes on E-Learning Outcomes in Organizational Settings,"Zeying Wan, Deborah  Compeau, Nicole  Haggerty"
Cost-Sensitive Learning via Priority Sampling to Improve the Return on Marketing and CRM Investment,"Geng Cui, Man Leung  Wong, Xiang  Wan"
Are New IT-Enabled Investment Opportunities Diminishing for Firms?,"Brian L. Dos Santos, Zhiqiang (Eric)  Zheng, Vijay S.  Mookerjee, Hongyu  Chen"
"Blog, Blogger, and the Firm: Can Negative Employee Posts Lead to Positive Outcomes?","Rohit Aggarwal, Ram  Gopal, Ramesh  Sankaranarayanan, Param Vir  Singh"
Ambidexterity in Agile Distributed Development: An Empirical Investigation,"Balasubramaniam Ramesh, Kannan  Mohan, Lan  Cao"
Relative Industry Concentration and Customer-Driven IT Spillovers,"Zhuo (June) Cheng, Barrie R.  Nault"
Cooperative Cashing? An Economic Analysis of Document Duplication in Cooperative Web Caching,"Kartik Hosanagar, Yong  Tan"
Institutional Contradictions and Loose Coupling: Postimplementation of NASA's Enterprise Information System,"Nicholas Berente, Youngjin  Yoo"
"Modeling Supply-Side Dynamics of IT Components, Products, and Infrastructure: An Empirical Analysis Using Vector Autoregression","Gediminas Adomavicius, Jesse  Bockstedt, Alok  Gupta"
Performance Implications of CRM Technology Use: A Multilevel Field Study of Business Customers and Their Providers in the Telecommunications Industry,"Alex R. Zablah, Danny N.  Bellenger, Detmar W.  Straub, Wesley J.  Johnston"
Reputation and Uncertainty in Online Markets: An Experimental Study,Sarah C. Rice
Managing Data Quality Risk in Accounting Information Systems,"Xue Bai, Manuel  Nunez, Jayant R.  Kalagnanam"
Expectation Confirmation in Technology Use,"Susan A. Brown, Viswanath  Venkatesh, Sandeep  Goyal"
Optimal Software Free Trial Strategy: The Impact of Network Externalities and Consumer Uncertainty,"Hsing Kenneth Cheng, Yipeng  Liu"
SOA Performance Enhancement Through XML Fragment Caching,"Anindya Datta, Kaushik  Dutta, Qianhui  Liang, Debra  VanderMeer"
Lock-In Strategy in Software Competition: Open-Source Software vs. Proprietary Software,"Kevin Xiaoguo Zhu, Zach Zhizhong  Zhou"
Trust Is in the Eye of the Beholder: A Vignette Study of Postevent Behavioral Controls' Effects on Individual Trust in Virtual Teams,"Alan R. Dennis, Jr.  Lionel P.  Robert, Aaron M.  Curtis, Stacy T.  Kowalczyk, Bryan K.  Hasty"
Generating Shareable Statistical Databases for Business Value: Multiple Imputation with Multimodal Perturbation,"Nigel Melville, Michael  McQuaid"
Online Price Dispersion: A Game-Theoretic Perspective and Empirical Evidence,"Sulin Ba, Jan  Stallaert, Zhongju  Zhang"
OPEN KNOWLEDGE CREATION: BRINGING TRANSPARENCY AND INCLUSIVENESS TO THE PEER REVIEW PROCESS,"Donald E. Hardaway, Richard W.  Scamell"
STYLE COMPOSITION IN ACTION RESEARCH PUBLICATION,"Lars Mathiassen, Mike  Chiasson, Matt  Germonprez"
CAN ONLINE WAIT BE MANAGED? THE EFFECTS OF FILLER INTERFACES AND PRESENTATION MODES ON PERCEIVED WAITING TIME ONLINE,"Younghwa Lee, Andrew N. K.  Chen, Virginia  Ilie"
ON PRODUCT UNCERTAINTY IN ONLINE MARKETS: THEORY AND EVIDENCE,"Angelika Dimoka, Yili  Hong, Paul A.  Pavlou"
"THE CAREER PATHS LESS (OR MORE) TRAVELED: A SEQUENCE ANALYSIS OF IT CAREER HISTORIES, MOBILITY PATTERNS, AND CAREER SUCCESS","Damien Joseph, Wai Fong  Boh, Soon  Ang, Sandra A.  Slaughter"
UNDERSTANDING USER REVISIONS WHEN USING INFORMATION SYSTEM FEATURES: ADAPTIVE SYSTEM USE AND TRIGGERS,Heshan Sun
A COST-BASED DATABASE REQUEST DISTRIBUTION TECHNIQUE FOR ONLINE E-COMMERCE APPLICATIONS,"Debra VanderMeer, Kaushik  Dutta, Anindya  Datta"
EFFICIENCY OR INNOVATION: HOW DO INDUSTRY ENVIRONMENTS MODERATE THE EFFECTS OF FIRMS' IT ASSET PORTFOLIOS?,"Ling Xue, Gautam  Ray, Vallabh  Sambamurthy"
TOWARD A NEW THEORY OF THE CONTRIBUTION OF THE IT FUNCTION IN ORGANIZATIONS,"Manon G. Guillemette, Guy  Pare"
THE ASYMMETRIC BENEFITS OF RELATIONAL FLEXIBILITY: EVIDENCE FROM SOFTWARE DEVELOPMENT OUTSOURCING,"Anandasivam Gopal, Balaji R.  Koka"
ENACTING CLAN CONTROL IN COMPLEX IT PROJECTS: A SOCIAL CAPITAL PERSPECTIVE,"Cecil Eng Huang Chua, Wee-Kiat  Lim, Christina  Soh, Siew Kien  Sia"
IS EMPLOYEE ATTITUDES AND PERCEPTIONS AT VARYING LEVELS OF SOFTWARE PROCESS MATURITY,"Janet K. Ply, Jo Ellen  Moore, Clay K.  Williams, Jason Bennett  Thatcher"
"ABSORPTIVE CAPACITY AND INFORMATION SYSTEMS RESEARCH: REVIEW, SYNTHESIS, AND DIRECTIONS FOR FUTURE RESEARCH","Nicholas Roberts, Pamela S.  Galluch, Michael  Dinger, Varun  Grover"
CARROTS AND RAINBOWS: MOTIVATION AND SOCIAL PRACTICE IN OPEN SOURCE SOFTWARE DEVELOPMENT,"Georg von Krogh, Stefan  Haefliger, Sebastian  Spaeth, Martin W.  Wallin"
Two Rule-Based Natural Language Strategies for Requirements Discovery and Classification in Open Source Software Development Projects,"Radu E. Vlas, William N.  Robinson"
Supporting Agile Organizations with a Decision Guidance Query Language,"Alexander Brodsky, Nathan E.  Egge, X. Sean  Wang"
"Understanding Technology Support for Organizational Transactive Memory: Requirements, Application, and Customization","Dorit Nevo, Izak  Benbasat, Yair  Wand"
Theory-Informed Design and Evaluation of an Advanced Search and Knowledge Mapping System in Nanotechnology,"Yan Dang, Yulei  Zhang, Hsinchun  Chen, Susan A.  Brown, Paul Jen-Hwa  Hu, Jr.  Jay F.  Nunamaker"
Facilitation Roles and Responsibilities for Sustained Collaboration Support in Organizations,"Gwendolyn L. Kolfschoten, Fred  Niederman, Robert O.  Briggs, Gert-Jan  De Vreede"
Going Concerns: The Governance of Interorganizational Coordination Hubs,"M. Lynne Markus, Quang Neo  Bui"
Effect of Information Feedback on the Outcomes and Dynamics of Multisourcing Multiattribute Procurement Auctions,"Gediminas Adomavicius, Alok  Gupta, Pallab  Sanyal"
Leveraging Information Technology Infrastructure to Facilitate a Firm's Customer Agility and Competitive Activity: An Empirical Investigation,"Nicholas Roberts, Varun  Grover"
Methodology Mashups: An Exploration of Processes Used to Maintain Software,"Dana Edberg, Polina  Ivanova, William  Kuechler"
Patch Release Behaviors of Software Vendors in Response to Vulnerabilities: An Empirical Analysis,"Orcun Temizkan, Ram L.  Kumar, SungJune  Park, Chandrasekar  Subramaniam"
Moving Beyond the Single Site Implementation Study: How (and Why) We Should Study the Biography of Packaged Enterprise Solutions,"Robin Williams, Neil  Pollock"
Social Networks and the Diffusion of User-Generated Content: Evidence from YouTube,"Anjana Susarla, Jeong-Ha  Oh, Yong  Tan"
Information Technology and Intangible Output: The Impact of IT Investment on Innovation Productivity,"Landon Kleis, Paul  Chwelos, Ronald V.  Ramirez, Iain  Cockburn"
Competitive Behavior-Based Price Discrimination for Software Upgrades,"Amit Mehra, Ram  Bala, Ramesh  Sankaranarayanan"
Effects of Information Revelation Policies Under Cost Uncertainty,Karthik N. Kannan
"Switching Costs, Network Effects, and Competition in the European Mobile Telecommunications Industry","Lucio Fuentelsaz, Juan  Pablo Maicas, Yolanda  Polo"
Modeling Spatial and Temporal Set-Based Constraints During Conceptual Database Design,"Faiz Currim, Sudha  Ram"
IT Outsourcing Contracts and Performance Measurement,"David Fitoussi, Vijay  Gurbaxani"
How Peripheral Developers Contribute to Open-Source Software Development,"Pankaj Setia, Balaji  Rajagopalan, Vallabh  Sambamurthy, Roger  Calantone"
Online and Offline Demand and Price Elasticities: Evidence from the Air Travel Industry,"Nelson Granados, Alok  Gupta, Robert J.  Kauffman"
The Impact of External Word-of-Mouth Sources on Retailer Sales of High-Involvement Products,"Bin Gu, Jaehong  Park, Prabhudev  Konana"
Online Users' Switching Costs: Their Nature and Formation,"Soumya Ray, Sung S.  Kim, James G.  Morris"
A Multilevel Analysis of the Effect of Group Appropriation on Collaborative Technologies Use and Performance,"Sora Kang, Kai H.  Lim, Min Soo  Kim, Hee-Dong  Yang"
The Halo Effect in Multicomponent Ratings and Its Implications for Recommender Systems: The Case of Yahoo! Movies,"Nachiketa Sahoo, Ramayya  Krishnan, George  Duncan, Jamie  Callan"
To Continue Sharing or Not to Continue Sharing? An Empirical Analysis of User Decision in Peer-to-Peer Sharing Networks,"Mu Xia, Yun  Huang, Wenjing  Duan, Andrew B.  Whinston"
Codiffusion of Wireless Voice and Data Services: An Empirical Analysis of the Japanese Mobile Telecommunications Market,"Marius F. Niculescu, Seungjin  Whang"
THE ENDS OF INFORMATION SYSTEMS RESEARCH: A PRAGMATIC FRAMEWORK,"Panos Constantinides, Mike W.  Chiasson, Lucas D.  Introna"
