,TI,AB,AF,PY,VL,IS,DE,BP-EP,SO
10,A Contingency Model for User Involvement in DSS Development,"Many authors have stressed that DSS development requires a high level of user involvement. Three DSS case studies are presented which illustrate that the level of user involvement can vary considerably. Based upon the existing literature, a tentative model of the dimensions affecting user involvement in the creation of a DSS is hypothesized. This model is then refined in light of the three case studies presented.","Robert I. Mann, Hugh J. Watson",1984,8,1,"Decision support systems (DSS), systems development",27-38,MIS Quarterly
11,A Contingency View of Managing the Data Processing Organization,"This article relates contingency theory management to the EDP function of the organization. The technology and environment of an organization establish the organization’s position on a continuum ranging from closed/stable/mechanistic to open/adaptive/organic. The application of this concept is interesting and useful for the EDP manager. Two components of the EDP function, production and development, are related to managerial contingency theory.","James C. Wetherbe, Carlton J. Whitehead",1977,1,1,"Managing MIS, managerial style, contingency theory",19-25,MIS Quarterly
12,A Cost-Based Database Request Distribution Technique for Online e-Commerce Applications,"E-commerce is growing to represent an increasing share of overall sales revenue, and online sales are expected to continue growing for the foreseeable future.  This growth translates into increased activity on the supporting infrastructure, leading to a corresponding need to scale the infrastructure.  This is difficult in an era of shrinking budgets and increasing functional requirements.  Increasingly, IT managers are turning to virtualized cloud providers, drawn by the pay-for-use business model.  As cloud computing becomes more popular, it is important for data center managers to accomplish more with fewer dollars (i.e., to increase the utilization of existing resources).  Advanced request distribution techniques can help ensure both high utilization and smart request distribution, where requests are sent to the service resources best able to handle them.  While such request distribution techniques have been applied to the web and application layers of the traditional online application architecture, request distribution techniques for the data layer have focused primarily on online transaction processing scenarios.  However, online applications often have a significant read-intensive workload, where read operations constitute a significant percentage of workloads (up to 95 percent or higher).  In this paper, we propose a cost-based database request distribution (C-DBRD) strategy, a policy to distribute requests, across a cluster of commercial, off-the-shelf databases, and discuss its implementation.  We first develop the intuition behind our approach, and describe a high-level architecture for database request distribution.  We then develop a theoretical model for database load computation, which we use to design a method for database request distribution and build a software implementation.  Finally, following a design science methodology, we evaluate our artifacts through experimental evaluation.  Our experiments, in the lab and in production-scale systems, show significant improvement of database layer resource utilization, demonstrating up to a 45 percent improvement over existing request distribution techniques.","Debra VanderMeer, Kaushik Dutta, Anindya Datta",2012,36,2,"Database clusters, request distribution, task allocation, design research",479-507,MIS Quarterly
13,A Cross-Cultural Study on Escalation of Commitment Behavior in Software Projects,"One of the most challenging decisions that a manager must confront is whether to continue or abandon a troubled project. Published studies suggest that failing software projects are often allowed to continue for too long before appropriate management action is taken to discontinue or redirect the efforts. The level of sunk cost associated with such projects has been offered as one explanation for this escalation of commitment behavior. What prior studies fail to consider is how concepts from risk-taking theory (such as risk propensity and risk perception) affect decision makers’ willingness to continue a project under conditions of sunk cost. To better understand factors that may cause decision makers to continue such projects, this study examines the level of sunk cost together with the risk propensity and risk perception of decision makers. These factors are assessed for cross-cultural robustness using matching laboratory experiments carried out in three cultures (Finland, the Netherlands, and Singapore). With a wider set of explanatory factors than prior studies, we could account for a higher amount of variance in decision makers’ willingness to continue a project. The level of sunk cost and the risk perception of decision makers contributed significantly to their willingness to continue a project. Moreover, the risk propensity of decision makers was inversely related to risk perception. This inverse relationship was significantly stronger in Singapore (a low uncertainty avoidance culture) than in Finland and the Netherlands (high uncertainty avoidance cultures). These results reveal that some factors behind decision makers’ willingness to continue a project are consistent across cultures while others may be culture-sensitive. Implications of these results for further research and practice are discussed.","Mark Keil, Bernard C. Y. Tan, Kwok-Kee Wei, Timo Saarinen, Virpi Tuuainen, Arjen Wassenaar",2000,24,2,"Software project management, escalation of commitment behavior, sunk cost, risk propensity, risk perception, uncertainty avoidance",299-325,MIS Quarterly
14,A Data Envelopment Analysis Approach to Estimate IT-Enabled Production Capability,"Information systems researchers have drawn on the resource-based view (RBV) and dynamic capabilities theory to offer a sharper theoretical lens to study the impact of information technology (IT) enabled capabilities on organizational performance.  In this study, we propose a new conceptualization of IT-enabled production capability, based on the ability of a manufacturing plant to use its mix of resource inputs to maximize its process outputs.  Our approach extends the literature on firm capability using data envelopment analysis (DEA), a nonparametric approach for estimating relative efficiencies of decision-making units.  We tested our models using plant-level data collected from a sample of U.S. plants.  Our study makes a key contribution by developing a new methodology to measure IT business value with respect to the role of IT-enabled production capability.   We operationalize a new DEA-based measure of capability using the relative efficiency of converting plant inputs into process outputs, a significant departure from extant research that has primarily focused on subjective and absolute measures to conceptualize capability.7/8/16","Sezgin Ayabakan, Indranil R. Bardhan, Zhiiang (Eric) Zheng",2017,41,01,"Production capability, data envelopment analysis, efficiency, resource-based view, information technology",189-205,MIS Quarterly
15,A Decision Aid for Selecting Among Information System Alternatives,"Many information system selection decisions, software decisions, hardware decisions, and project selection decisions involve characteristics that are of a qualitative nature.  Present methodologies either ignore the problem of selecting qualitative attributes, or require the assignment of a numerical value to a qualitative variable in order to make a choice involving qualitative benefits.  These approaches require application of artificial measures to qualitative variables.  A procedure that overcomes these difficulties for selection problems with known alternatives is presented.  The procedure is an implicit enumeration procedure based on properties of preference theory, requires no formal optimization procedure, and would be simple to implement in an interactive decision setting involving selection from among a set of known alternatives.","Gary Klein, Philip O. Beck",1987,11,2,"Project selection, multiple criteria decisions, system evaluation",177-185,MIS Quarterly
16,A Design Theory for Systems That Support Emergent Knowledge Processes,"This paper addresses the design problem of providing IT support for emerging knowledge processes (EKPs). EKPs are organizational activity patterns that exhibit three characteristics in combination:  an emergent process of deliberations with no best structure or sequence; requirements for knowledge that are complex (both general and situational), distributed across people, and evolving dynamically; and an actor set that is unpredictable in terms of job roles or prior knowledge.  Examples of EKPs include basic research, new product development, strategic business planning, and organization design.  EKPs differ qualitatively from semi-structured decision making processes; therefore, they have unique requirements that are not all thoroughly supported by familiar classes of systems, such as executive information systems, expert systems, electronic communication systems, organizational memory systems, or repositories.  Further, the development literature on familiar classes of systems does not provide adequate guidance on how to build systems that support EKPs.  Consequently, EKPs require a new IS design theory, as explicated by Walls et al. (1992).We created such a theory while designing and deploying a system for the EKP of organization design.  The system was demonstrated through subsequent empirical analysis to be successful in supporting the process.  Abstracting from the experience of building this system, we developed an IS design theory for EKP support systems.  This new IS design theory is an important theoretical contribution, because it both provides guidance to developers and sets an agenda for academic research.  EKP design theory makes the development process more tractable for developers by restricting the range of effective features (or rules for selecting features) and the range of effective development practices to a more manageable set.  EKP design theory also sets an agenda for academic research by articulating theory-based principles that are subject to empirical, as well as practical, validation.","M. Lynne Markus, Ann Majchrzak, Les Gasser",2002,26,3,"IS design theory, IS development, emergent knowledge process, knowledge management",179-212,MIS Quarterly
17,A Dramaturgical Model of the Production of Performance Data,"The production of performance data in organizations is often described as a functional process that managers enforce on their employees to provide leaders with accurate information about employees’ work and their achievements.  This study draws on a 15-month ethnography of a desk sales unit to build a dramaturgical model that explains how managers participate in the production of performance data to impress rather than inform leaders.  Research on management information systems is reviewed to outline a protective specification of this model where managers participate in the production of performance data to suppress information that threatens the image they present to leaders.  Ethnographic data about the production and use of performance records and performance reports in a desk sales unit is examined to induce an exploitive specification of this dramaturgical model.  This specification explains how people can take advantage of the opportunities, rather than just avoid the threats that performance data presents for impression management.  It also demonstrates how managers can participate in the production of performance data to create an idealized version of their accomplishments and that leaders reify these data by using them in their own attempts at impressing others.  By doing so, leaders and managers turn information systems into store windows to show achievement upward instead of transparent windows to monitor compliance downward.12/03/12",João Vieira da Cunha,2013,37,3,"Management information systems, production of performance data, performance monitoring, implementation of information technology, ethnography",723-748,MIS Quarterly
18,A Fast Form Approach to Measuring Technology Acceptance and Other Constructs,"Nearly all prior studies on the technology acceptance model (TAM) have used Likert scales to measure the model’s constructs, but the use of only this type of scale has two shortcomings.  One is that such use prevents us from exposing the model’s constructs to a robust test of their measure and relationships to each other, termed their nomological validity.  The other is that such use leaves us unsure about whether or not we have selected an efficient way, in terms of survey completion time, to assess these constructs.  Past researchers have used short form scales to address the issue of efficiency, but there are problems that may result from such efforts.  In this study, we address both shortcomings by exploring the use of a semantic differential scale, which we refer to as a fast form, to assess the constructs of TAM.  In this regard, we do three things.  First, we describe how fast form as a scale may be developed.  Second, we conduct a psychometric evaluation of the constructs that are measured by the fast form and examine their relationships.  Third, we assess the efficiency of the fast form by comparing the time required to complete a survey with it to that which is required to complete a survey with Likert scales.  Our results confirm that the constructs that are measured by the fast form are psychometrically equivalent to those that are measured by the Likert scales.  The relationship among these constructs was unchanged, providing strong evidence for nomological validity.  The fast form also yielded a 40 percent reduction in the survey completion time, proving its superior efficiency.  We conclude with a description of the implications of these results for research and practice.","Wynne W. Chin, Norman Johnson, Andrew Schwarz",2008,32,4,"Technology acceptance, semantic differential, scale development, item decomposition, nomological validity",687-703,MIS Quarterly
19,A Field of Study of the Effect of Interpersonal Trust on Virtual Collaborative Relationship Performance,"This article examines the relationship between interpersonal trust and virtual collaborative relationship (VCR) performance.  Findings from a study of 10 operational telemedicine projects in health care delivery systems are presented.  The results presented here confirm, extend, and apparently contradict prior studies of interpersonal trust.  Four types of interpersonal trust—calculative, competence, relational, and integrated—are identified and operationalized as a single construct.  We found support for an association between calculative, competence, and relational interpersonal trust and performance.  Our finding of a positive association between integrated interpersonal trust and performance not only yields the strongest support for a relationship between trust and VCR performance but also contradicts prior research.  Our findings indicate that the different types of trust are interrelated in that positive assessments of all three types of trust are necessary if VCRs are to have strongly positive performance.  The study also established that if any one type of trust is negative, then it is very likely that VCR performance will not be positive.  Our findings indicate that integrated types of interpersonal trust are interdependent, and the various patterns of interaction among them are such that they are mutually reinforcing.  These interrelationships and interdependencies of the different types of interpersonal trust must be taken into account by researchers as they attempt to understand the impact of trust on virtual collaborative relationship performance.","David L. Paul, Reuben R. McDaniel, Jr.",2004,28,2,"Interpersonal trust, collaboration, virtual teams, telemedicine",183-227,MIS Quarterly
20,A Field Study of End User Computing:  Findings and Issues,"This article reports on a series of interviews on end user computing carried out in twenty locations in St. Louis. The interviews took place between December 1982 and March 1983. Sixty-seven end users from all levels of management and nineteen IS professionals were interviewed in their work locations regarding the practice of interactive computing by non-DP professionals.Though end user computing is still in its early stages, signs of rapid growth are present. In response to this growth, IS departments are attempting to develop policies for its control and support. The picture is complicated by the recent introduction of microcomputers to the business office. The study explores this new phenomenon and examines some of the differences between those who use the mainframe environment and those who use micro-computers. Software used, the varieties of applications developed, and the training background of end users are examined, as well as some of the problems encountered and some of the early results.A prime objective of the study is accomplished in identifying end users’ educational goals. Finally, five critical issues are identified which those interviewed saw as needing resolution in the near future.",David H. Benson,1983,7,4,"end user, microcomputer, personal computer, education, training	",35-45,MIS Quarterly
21,A Field Study of Organizational Factors Influencing DSS Success,"A field study involving 124 organizations, and 378 DSS users, was conducted to ascertain the influence of the user’s task environment on DSS success.  Three groups were analyzed in the study:  managers, financial and planning analysts (FPA’s), and “others” who were predominantly management scientists or data processing analysts.  The study focused on three factors discussed in the MIS literature as potential, but unsubstantiated contributors to DSS success:  decision context (degree of problem structure), level of task interdependence (degree of interaction with others), and level of task constraints (degree of decision maker authority and autonomy).  There was some evidence that the decision context and the level of task interdependence were moderately related to decision-making success for managers and others.  There was very little support found to substantiate a relationship between the level of task constraints and DSS success for any group in the study.  The results reaffirmed that the level of top management support, user training, and length of DSS use are important correlates of DSS success.","G. Lawrence Sanders, James F. Courtney",1985,9,1,"Decision support systems, implementation, organizational factor",77-93,MIS Quarterly
22,A Flexible Approach to Information Systems Developmoent,"The Information Systems Development Life Cycle (ISDLC) is usually treated as a rigid sequence of activities. This article asserts that differences in the nature of development projects should affect the planning of the ISDLC. Two classes of factors affecting the ISDLC are identified: factors relating to the environment and factors relating to the development effort (e.g. in-house development vs. canned software package). Each step along the ISDLC is decomposed into several dimensions relating to the activities that should be performed, the degree of control that should be exerted, to human resources, to other resources, and to the time factor.  The relationship between the six dimensions and the two classes of factors are explained. Finally, a practical approach to ISDLC planning is suggested based on a structured procedure and a number of working forms. It assists in preliminary planning of the development process as well as in periodic reviews and revisions whenever the project reaches a certain milestone.","Niv Ahituv, Seev Neumann",1984,8,2,"information systems life cycle, information systems development",69-78,MIS Quarterly
23,A Framework for Comparing Information Engineering Methods,"This article proposes a comprehensive framework for comparing the current methodologies and tools for information engineering and using these methods for applying information technology to construct the overall information systems architecture for the organization.  The proposed framework consists of two dimensions:  (1) an expanded sequence of the traditional system life cycle; and (2) the conceptual depth of the methods.The article shows that information engineering is the key to effective information management.  Using the proposed framework, 26 widely cited methods for information engineering are compared.  Evolution to more effective methods of information engineering are needed to align future information systems requirements to strategic goals and objectives of an organization and to exploit the current information systems technologies for competitive advantage.","Richard D. Hackathorn, Jahangir Karimi",1988,12,2,"Information engineering, information systems architeture, information systems design, software engineering, system development methodologies",203-220,MIS Quarterly
24,A Framework for MIS Software Development Projects,This article questions the tacit assumption that computer software development is a homogenous activity across differing tasks. The author proposes that conventional statistics on the performance of MIS software development groups are too often based upon norms and procedures relevant to groups developing systems-oriented software. To evaluate the statement a simple descriptive framework is presented which distinguishes software developmental attributes for MIS from those of other computer software systems. The framework is validated by data from twenty-four organizations and the implications for management of MIS software development are discussed.,Jeffrey H. Moore,1979,3,1,"software, MIS, framework",29-38,MIS Quarterly
25,A Framework for Office Automation,"Much attention currently is being aimed at office automation.  Proponents are recognizing its potential value to the manager as an information resource, in addition to its initial focus on improved clerical operations.  However, proponents are recommending office automation as an information system without citing any basis, theoretical or empirical, for their claims.  The authors construct a theoretical framework that may be useful to the manager, or the system designer, in channeling office automat efforts in the right direction.  The framework is based on Henry Mintzberg’s concept of managerial roles, and is presented in the context of data gathered from five senior executives.","Raymond McLeod, Jr., Jack William Jones",1987,11,1,"Office automation, theory, framework, decision support",87-104,MIS Quarterly
26,*Invited Article:*  A Framework for the Development of Decisoin Support Systems,"This article proposes a framework to explore the nature, scope, and content of the evolving topic of Decision Support Systems (DSS). The first part of the framework considers (a) three levels of technology which have been designated DSS, (b) the developmental approach that is evolving for the creation of a DSS, and (c) the roles of several key types of people in the building and use of a DSS. The second part develops a descriptive model to access the performance objectives and the capabilities of a DSS as viewed by three of the major participants in their continued development and use. The final section outlines several issues in the future growth and development of a DSS as a potentially valuable type of information system in organizations.","Ralph H. Sprague, Jr.",1980,4,4,"Decision Support Systems, development approach, performance objectives, capabilities, issues",1-26,MIS Quarterly
27,A Hidden Markov Model for Collaborative Filtering,"In this paper, we present a method to make personalized recommendations when user preferences change over time.  Most of the works in the recommender systems literature have been developed under the assumption that user preference has a static pattern.  However, this is a strong assumption especially when the user is observed over a long period of time.  With the help of a data set on employees’ blog reading behavior, we show that users’ product selection behaviors change over time.  We propose a hidden Markov model to correctly interpret the users’ product selection behaviors and make personalized recommendations.  The user preference is modeled as a hidden Markov sequence.  A variable number of product selections of different types by each user in each time period requires a novel observation model.  We propose a negative binomial mixture of multinomial to model such observations.  This allows us to identify stable global preferences of users and to track individual users through these preferences.  We evaluate our model using three real-world data sets with different characteristics.  They include data on employee blog reading behavior inside a firm, users’ movie rating behavior at Netflix, and users’ music listening behavior collected through last.fm.  We compare the recommendation performance of the proposed model with that of a number of collaborative filtering algorithms and a recently proposed temporal link prediction algorithm.  We find that the proposed HMM-based collaborative filter performs as well as the best among the alternative algorithms when the data is sparse or static.  However, it outperforms the existing algorithms when the data is less sparse and the user preference is changing.  We further examine the performances of the algorithms using simulated data with different characteristics and highlight the scenarios where it is beneficial to use a dynamic model to generate product recommendation.","Nachiketa Sahoo, Param Vir Singh, Tridas Mukhopadhyay",2012,36,4,"Recommender systems, collaborative filtering, changing preference, dynamic models, latent class model",1329-1356,MIS Quarterly
28,A Knowledge-Based Model of Radical Innovation in Small Software Firms,"In this paper, we adopt the lens of absorptive capacity (ACAP), defined by two dimensions—the knowledge base (consisting of knowledge diversity, depth, and linkages) and routines (consisting of sensing and experimentation)—to explain how a software firm’s knowledge endowments influence its level of radical information technology innovation during a technological breakthrough.  We distinguish three types of IT innovations—base, processes, and service innovation—that form an innovation ecology.  We posit that (1) ACAP is a relational construct where the impact of the knowledge base is mediated by routines; (2) IT innovations are either externally adopted or internally generated; and (3) knowledge antecedents associated with different types of innovations differ.  We hypothesize a three-step, mediated path (knowledge base à sensing à experimentation à innovation) for external innovation adoption, and a two-step path (knowledge diversity/depth à experimentation à innovation) for internal innovation creation to explain the software firm’s level of radical innovation across three IT innovation types.  We validate the model through a cross-sector study that examined how 121 small software firms innovated with Internet computing.  We confirm the mediated nature of ACAP for external base innovations, which are driven by all three knowledge-based factors as follows:  (1) knowledge depth (direct positive effect); (2) knowledge diversity (mediated three-step path), (3) knowledge linkages (mediated three step path).  Process innovations are externally driven by a three-step mediated path for knowledge linkages, as well as being directly affected by knowledge diversity, but negatively and directly impeded by knowledge depth.  Service innovations are not driven by any mediated influence of ACAP, but driven directly by knowledge diversity.  At the same time, both service and process innovations are strongly influenced by prior IT innovations:  base and/or service.  Several directions for future studies of radical IT innovation are proposed.","Jessica Luo Carlo, Kalle Lyytinen, Gregory M. Rose",2012,36,3,"Absorptive capacity, knowledge base models, routines, organization knowledge base, IT innovation, innovation ecology, Internet computing, mediation",865-895,MIS Quarterly
29,A Longitudinal Investigation of Personal Computers in Homes: Adoption Determinants and Emerging Challenges,"While technology adoption in the workplace has been studied extensively, drivers of adoption in homes have been largely overlooked.  This paper presents the results of a nation-wide, two-wave, longitudinal investigation of the factors driving personal computer (PC) adoption in American homes.  The findings revealed that the decisions driving adoption and non-adoption were significantly different. Adopters were driven by utilitarian outcomes, hedonic outcomes (i.e., fun), and social outcomes (i.e., status) from adoption.  Non-adopters, on the other hand, were influenced primarily by rapid changes in technology and the consequent fear of obsolescence.  A second wave of data collection conducted six months after the initial survey indicated an asymmetrical relationship between intent and behavior, with those who did not intend to adopt a PC following more closely with their intent than those who intended to adopt one.  We present important implications for research on adoption of technologies in homes and the workplace, and also discuss challenges facing the PC industry.","Viswanath Venkatesh, Susan A. Brown",2001,25,1,"Theory of planned behavior, adoption, household, intention, behavior",71-102,MIS Quarterly
30,A Longitudinal Study of Herd Behavior in the Adoption and Continued Use of Technology,"Herd literature suggests that people tend to discount their own beliefs and imitate others when making adoption decisions and that the resulting adoption decisions are fragile and can be easily reversed during the post-adoptive stage.  This helps explain why the adoption of a number of new technologies―from Amazon’s Kindle, to Apple’s iPod, iPhone, and iPad, to various types of Web 2. 0 technologies―appears to have adoption patterns similar to those of new fashion trends (i. e., an initial en masse acquisition followed by subsequent abandonment).  It is important to understand these phenomena because they are strongly related to the staying power of technology.  From a herd behavior perspective, this study proposes two new concepts, namely discounting one’s own information and imitating others, to describe herd behavior in technology adoption. A research model is developed to describe the conditions under which herd behavior in technology adoption occurs, how it impacts technology adoption decision making, and how it influences post-adoptive system use.  A longitudinal study is conducted to examine the research model.  Findings from this research suggest that the discounting of one’s own beliefs and the imitating of others when adopting a new technology are provoked primarily by the observation of prior adoptions and perceptions of uncertainty regarding the adoption of new technology.  Herd behavior has a significant influence on user technology adoption; however, it does not necessarily lead to the collapse of the user base, as predicted in the herd literature.  Instead, imitation can help reduce post-adoption regret and thus serve as a legitimate strategy for choosing a good enough technology, which may or may not be the best option to enhance job performance.  People tend to adjust their beliefs when herding and also to revive their discounted initial beliefs to modify their beliefs about the technology at the post-adoptive stage.  Findings from this study have significant research and practical implications.10/08/12",Heshan Sun,2013,37,4,"Herd behavior, imitating, technology adoption and continued use, longitudinal study",1013-1041,MIS Quarterly
31,A Management View of Systems Analysts:  Failures and Shortcomings,"The development of useful and satisfactory computer-based information systems requires a good working relationship between the user and the analyst. However, it appears that this relationship frequently is threatened by ineffective systems work. It is caused by a set of perceptions and assumptions that users and analysts make which lead to dissatisfaction with the analyst. This article explores some of the reasons for failures and short-comings as well as insights into what can be done to improve the situation.",James A. Senn,1978,2,3,"systems analyst, analysis and design, resistance to information systems, information structure, information systems",25-32,MIS Quarterly
