,AF,TI,DE,AB,SO,VL,PY,IS,BP,EP
10, Hugh J. Watson;  Astrid Lipp;  Pamela Z. Jackson;  Abdelhafid Dahmani;  William B. Fredenberger,Organizational Support for Decision Support Systems, decision support systems;  DSS support;  organizing for decision support systems;  human information processing,"Fifty-five organizations in which decision support systems (DSS) are used were surveyed to determine how they are supporting DSS activity. The findings provide insights about the extent to which DSS activity is being supported, which organizational units are providing support, the types and frequency of support provided, the organizational units and management levels that receive support and how often it is provided, and the perceived quality of the support. Typically, DSS support is available through between one and four locations in an organization. Personnel working at different levels in their organizations and in different functional areas have distinct patterns of use of DSS support services.",Journal of Management Information Systems,5,1989,4,87,109
11, Richard T. Watson;  Gigi G. Kelly;  Robert D. Galliers;  James C. Brancheau,Key Issues in Information Systems Management: An International Perspective, information systems management;  international computing;  key issues in information systems,"This study compares and contrasts the findings of recent information systems (IS) management studies in ten nations or regions as well as one U.S. multinational study. It examines the key concerns of IS executives in these areas, focusing on identifying and explaining regional similarities and differences. Internationally, there are substantial differences in key issues. Possible reasons for these differences cultural, economic development, political/legal environment, and technological status are discussed. The analysis suggests that national culture and economic development can explain differences in key issues. The paper concludes with a revised framework for key issues studies that will more readily support comparison across time and nations.",Journal of Management Information Systems,13,1997,4,91,117
12, Sunil Wattal;  Pradeep Racherla;  Munir Mandviwalla,Network Externalities and Technology Use: A Quantitative Analysis of Intraorganizational Blogs, corporate blogs;  network externalities;  social computing;  social networks;  technology usage,"The article presents the results of a study which examined the use of blogs in a corporate context, focusing on the social aspects of such information systems. The role of network externalities, positive feedback, and the demographic variables of age and gender were analyzed. The results of the study indicated that network effects were stronger for younger users and women, and strongest for relational networks. The effect of age was nonlinear. Positive feedback and use of blogs by managers correlated with increased blogging.",Journal of Management Information Systems,27,2010,1,145,173
13, Michael Bieber;  Douglas Engelbart;  Richard Furuta;  Starr Roxanne Hiltz;  John Noll;  Jennifer Preece;  Edward A. Stohr;  Murray Turoff;  Bartel Van de Walle,Toward Virtual Community Knowledge Evolution, computer-mediated communication;  concept maps;  conceptual knowledge structures;  decision analysis;  digital libraries;  hypermedia;  hypertext;  knowledge evolution;  process modeling;  professional societies;  virtual communities;  virtual educational communities;  workflow,"This paper puts forth a vision and an architecture for a community knowledge evolution system. We propose augmenting a multimedia document repository (digital library) with innovative knowledge evolution support, including computer-mediated communications, community process support, decision support, advanced hypermedia features, and conceptual knowledge structures. These tools, and the techniques developed around them, would enable members of a virtual community to learn from, contribute to, and collectively build upon the community's knowledge and improve many member tasks. The resulting Collaborative Knowledge Evolution Support System (CKESS) would provide an enhanced digital library infrastructure serving as an ever-evolving repository of the community's knowledge, which members would actively use in everyday tasks and regularly update.",Journal of Management Information Systems,18,2002,4,11,35
14, Sunil Wattal;  Rahul Telang;  Tridas Mukhopadhyay,Information Personalization in a Two-Dimensional Product Differentiation Model, game theory;  horizontal and vertical differentiation;  market structure;  personalization;  quality-fit ratio,"We use a game-theoretic model to examine how information personalization by firms interacts with different dimensions of product differentiation (namely, horizontal and vertical differentiation). We consider the possibility that consumers attach different importance to various types of product differentiation, and report the equilibrium in terms of the ""quality--fit"" ratio, which measures the relative strength of preference for quality compared to preference for product fit and is a function of the cost of quality and the cost of product misfit. We also consider how different market structures (whether firms are similar or differentiated on the horizontal dimension ex ante) lead to different equilibriums when firms adopt personalization. We show that personalization by one firm leads to higher profits for both firms if product quality and misfit costs are high and the firms offer similar products ex ante. On the other hand, if firms offer differentiated products, personalization is profitable only if the effectiveness of the personalization technology is high or if both product quality and misfit costs are low. We also highlight conditions under which investments in personalization and product quality can be complements or substitutes to each other. Finally, we show that a firm can respond to a competitor's personalization by either increasing (aggressive response) or decreasing (defensive response) investments in its own quality. Our results provide insights to managers on when to invest in personalization technologies and how to adjust their investments in product quality after the firm (or its competitor) adopts personalization.",Journal of Management Information Systems,26,2009,2,69,95
15, Bruce W. Weber,Next-Generation Trading in Futures Markets: A Comparison of Open Outcry and Order Matching Systems, electronic futures trading;  screen-based trading;  trading automation,"The introduction of new screen-based systems for trading securities and futures contracts has led to the emergence of a ""market for markets,"" and exchanges, broker-dealer firms, and market data vendors are competing to offer trade execution services that will attract customers and trading volumes. This competition is favored in the United States by regulatory bodies such as the SEC and the CFTC, which have taken steps such as encouraging the listing of equity options on multiple exchanges and approving the applications of screen-based systems for designation as contract markets. This paper examines the design of one screen-based futures market, the Cantor Financial Futures Exchange (CX), and describes its capabilities relative to the rival, floor-based market in Chicago. In comparison to traditional open-outcry mechanisms, the CX order-matching system maintains strict first in--first out time priority among submitted orders. Using a simple simulation model, we see that order matching leads to faster completion of desired trades and about a one-third reduction in transactions costs.",Journal of Management Information Systems,16,1999,2,29,45
17, E. Sue Weber,"Systems to Think With: A Response to ""A Vision for Decision Support Systems""", problem-solving strategies;  creativity in decision making;  decision support systems,"This paper addresses the question of how Decision Support Systems, (DSS) should be designed to stimulate learning and creativity. Research has shown that increasing one's use of learning and problem-solving strategies can significantly improve performance. Based on this perspective, the DSS designer's responsibility becomes one of providing strategies that facilitate learning and creative thinking.",Journal of Management Information Systems,2,1986,4,85,97
18, E. Sue Weber;  Benn R. Konsynski,Problem Management: Neglected Elements in Decision Support Systems, problem management;  decision support systems;  problem representation,"The majority of current decision support systems (DSS) have concentrated on managing solutions rather than on managing the full range of problem-solving events. As a result, certain critical functions have been neglected. The authors define problem management in terms of problem finding, problem representation, information surveillance, solution generation, and evaluation. They propose a set of functional requirements for DSS that actively aids decision makers in each of these processes. Elements of a DSS architecture are presented to demonstrate the potential for support of these activities.",Journal of Management Information Systems,4,1987,3,64,81
19, Chih-Ping Wei;  Roger H. L. Chiang;  Chia-Chen Wu,Accommodating Individual Preferences in the Categorization of Documents: A Personalized Clustering Approach, cognitive overload;  document clustering;  hierarchical agglomerative clustering;  personalization;  personalized document clustering;  supervised document clustering;  text mining,"As electronic commerce and knowledge economy environments proliferate, both individuals and organizations increasingly generate and consume large amounts of online information, typically available as textual documents. To manage this ever-increasing volume of documents, individuals and organizations frequently organize their documents into categories that facilitate document management and subsequent access and browsing. Document clustering is an intentional act that should reflect individual preferences with regard to the semantic coherency and relevant categorization of documents. Hence, effective document clustering must consider individual preferences and needs to support personalization in document categorization. In this paper, we present an automatic document-clustering approach that incorporates an individual's partial clustering as preferential information. Combining two document representation methods, feature refinement and feature weighting, with two clustering methods, precluster-based hierarchical agglomerative clustering (HAC) and atomic-based HAC, we establish four personalized document-clustering techniques. Using a traditional content-based document-clustering technique as a performance benchmark, we find that the proposed personalized document-clustering techniques improve clustering effectiveness, as measured by cluster precision and cluster recall.",Journal of Management Information Systems,23,2006,2,173,201
20, Chih-Ping Wei;  Paul Jen-Hwa Hu;  Yen-Hsien Lee,Preserving User Preferences in Automated Document-Category Management: An Evolution-Based Approach, category evolution;  category hierarchy evolution;  document-category management;  document clustering;  hierarchical agglomerative clustering;  text mining,"Analysis of prevalent document management practices shows the popular use of categories (e.g., folders) to organize documents for subsequent searches and retrievals. The coherence and distinction of an existing document category can diminish considerably as influxes of new documents arrive over time. The complexity of and effort requirements for document-category management favor an automated approach that can be supported by appropriate document-clustering techniques. A review of the extant literature shows a predominant focus on document content analysis in automated document-category management, which cannot preserve the user's document-grouping preferences. This research develops two advanced evolution-based techniques for preserving user preferences in their management of document categories. The first technique (CE2), which supports the automated evolution of a set of flat (i.e., nonhierarchical) document categories, extends a promising evolution-based technique (category evolution, CE) by addressing its fundamental limitations inherent to the use of holistic measures. The second technique, category hierarchy evolution (CHE), is developed on the basis of CE2 to support scenarios where document categories are organized with a hierarchical structure. Empirical evaluations of the effectiveness of each technique in various category evolution scenarios created using two different document corpora (i.e., news documents from Reuters and research articles from the ACM digital library), as compared with those of associated salient techniques for benchmark purposes, show that CE2 and CHE outperform their respective benchmark techniques. Their performance is reasonably robust and appears more effective when the quality (coherence) of the previously created categories does not deteriorate excessively. According to our results, the evolution-based approach is viable, appealing, and capable of preserving user preferences in automatic reorganizations of document categories.",Journal of Management Information Systems,25,2009,4,109,143
21, Xia Weidong;  Gwanhoo Lee,Complexity of Information Systems Development Projects: Conceptualization and Measurement Development, complexity;  conceptual framework;  confirmatory factor analysis;  information systems development project;  scale development;  scale validation,"This paper conceptualizes and develops valid measurements of the key dimensions of information systems development project (ISDP) complexity. A conceptual framework is proposed to define four components of ISDP complexity: structural organizational complexity, structural IT complexity, dynamic organizational complexity, and dynamic IT complexity. Measures of ISDP complexity are generated based on literature review, field interviews, and focus group discussions. The measures are then refined through a systematic process and are tested using confirmatory data analyses with survey responses from 541 ISDP managers. Results support the final measurement model that consists of a second-order factor of ISDP complexity, four distinct first-order factors, and 15 measurement items. The measurement adequately satisfies the criteria for unidimensionality, convergent validity, discriminant validity, reliability, factorial invariance across different types of ISDPs, and nomo logical validity. Implications of the study results to research and practice as well as limitations of the study and directions for future research are discussed.",Journal of Management Information Systems,22,2005,1,45,83
22, Fan Weiguo;  Michael D. Gordon;  Praveen Pathak,Genetic Programming-Based Discovery of Ranking Functions for Effective Web Search, business intelligence;  genetic programming;  information retrieval;  machine learning;  ranking function;  search engines;  text mining;  Web mining,"Web search engines have become an integral part of the daily life of a knowledge worker, who depends on these search engines to retrieve relevant information from the Web or from the company's vast document databases. Current search engines are very fast in terms of their response time to a user query. But their usefulness to the user in terms of retrieval performance leaves a lot to be desired. Typically, the user has to sift through a lot of nonrelevant documents to get only a few relevant ones for the user's information needs. Ranking functions play a very important role in the search engine retrieval performance. In this paper, we describe a methodology using genetic programming to discover new ranking functions for the Web-based information-seeking task. We exploit the content as well as structural information in the Web documents in the discovery process. The discovery process is carried out for both the ad hoc task and the routing task in retrieval. For either of the retrieval tasks, the retrieval performance of these newly discovered ranking functions has been found to be superior to the performance obtained by well-known ranking strategies in the information retrieval literature.",Journal of Management Information Systems,21,2005,4,37,56
23, Peter Weill;  Marorethe H. Olson,An Assessment of the Contingency Theory of Management Information Systems, discipline of MIS;  contingency theory;  organization theory;  research methodology in MIS,"This paper explores the use of contingency theory in the field of Management Information Systems (MIS). The development of contingency theory in MIS is compared to the development of organization theory. The assumptions of fit, performance as a dependent variable, rational actors, and a deterministic model in both organizational research and MIS research are critiqued. The dominant influence of contingency theory is demonstrated through a review of empirical studies published in JMIS and MIS Quarterly. Of the 177 articles during the period studied, 59 percent were empirical and over 70 percent of these were judged to follow a contingency model. Based on our assessment of this research, we conclude that research in MIS has been hampered by the use of a naive meta-theory, conflicting empirical results with low explained variance, ill-defined concepts of performance and fit, and a narrow perspective of researchers. We give some recommendations for improving the theoretical basis of MIS, including advocating more subjectivist, less functional, and less deterministic research approaches. We also suggest a wider selection of methodologies including qualitative case studies, longitudinal studies, and ethnographic approaches. Finally, we conclude that significantly more theory-building is required in defining the MIS construct.",Journal of Management Information Systems,6,1989,1,59,85
24, Frank Biocca;  Charles Owen;  Arthur Tang;  Corey Bohil,Attention Issues in Spatial Information Systems: Directing Mobile Users' Visual Attention Using Augmented Reality, augmented reality;  geospatial information system;  location-based services;  mobile computing;  spatial information systems;  visual attention,"Knowledge of objects, situations, or locations in the environment can be productive, useful, or even life-critical for mobile augmented reality (AR) users. Users may need assistance with (1) dangers, obstacles, or situations requiring attention; (2) visual search; (3) task sequencing; and (4) spatial navigation. The omnidirectional attention funnel is a general purpose AR interface technique that rapidly guides attention to any tracked object, person, or place in the space. The attention funnel dynamically directs user attention with strong bottom-up spatial attention cues. In a study comparing the attention funnel to other attentional techniques such as highlighting and audio cueing, search speed increased by over 50 percent, and perceived cognitive load decreased by 18 percent. The technique is a general three-dimensional cursor in a wide array of applications requiring visual search, emergency warning, and alerts to specific objects or obstacles, or for three-dimensional navigation to objects in space.",Journal of Management Information Systems,23,2007,4,163,184
25, Wang Weiquan;  Izak Benbasat,Recommendation Agents for Electronic Commerce: Effects of Explanation Facilities on Trusting Beliefs, decision support;  decisional guidance;  electronic commerce;  explanations;  recommendation agents;  trust,"We empirically test the effects of explanation facilities on consumers' initial trusting beliefs concerning online recommendation agents (RAs). RAs provide online shopping advice based on user-specified needs and preferences. The characteristics of RAs that may hamper consumers' trust building in the RAs are identified, and the provision of explanation facilities is proposed as a knowledge-based approach to enhance consumers' trusting beliefs by dealing with these obstacles. This study examines the effects of three types of explanations about an RA and its use--how, why, and trade-off explanations--on consumers' trusting beliefs in an RA's competence, benevolence, and integrity. An RA was built as the experimental platform and a laboratory experiment was conducted. The results confirm the important role of explanation facilities in enhancing consumers' initial trusting beliefs and indicate that consumers' use of different types of explanations enhances different trusting beliefs: the use of how explanations increases their competence and benevolence beliefs, the use of why explanations increases their benevolence beliefs, and the use of trade-off explanations increases their integrity beliefs.",Journal of Management Information Systems,23,2007,4,217,246
26, Mark Weiser;  Joline Morrison,Project Memory: Information Management for Project Teams, knowledge management;  organizational learning;  organizational memory;  team memory,"Modern organizations are successfully using project teams to address complex tasks. Yet these teams often use approaches for project data management that may not capture project processes, contexts, rationales, or artifacts in a way that enables new project members to familiarize themselves quickly with the project history. Project information is rarely captured, retained, or indexed so that people external to the project can retrieve and apply it to future tasks. To address the issue of capturing a comprehensive project history that can subsequently be retrieved and applied to current problems, a generalizable object-oriented data model is developed. It decomposes project information into five discrete classes: projects, users, events, meetings, and documents. Through inheritance and domain references, the model describes the people, temporal events (such as meetings or single agenda items within a meeting), and archival documents that are created within a project or support some aspect of the project. These project items can be retrieved based on either contextual information (such as the dates they were created or last revised, who created them, or the projects they pertain to) or user-supplied descriptive keywords. Hypertext-like links can also be created to associate related items. Based on this model, a prototype system, Project Memory, has been developed to validate the model structure and system requirements.",Journal of Management Information Systems,14,1998,4,149,166
27, Hong Weiyin;  James Y. L. Thong;  Lewis C. Chasalow;  Gurpreet Dhillon,User Acceptance of Agile Information Systems: A Model and Empirical Test, agile methods;  agile systems;  availability heuristic;  comfort with change;  habit;  information systems continuance;  omission bias;  personal innovativeness;  status quo bias;  unified theory of acceptance and use of technology,"In response to the rapid changes in users' requirements, a new generation of information systems (IS), namely, agile IS, has emerged. Agile IS, defined as information systems developed using agile methods, are characterized by frequent upgrades with a small number of new features released periodically. The existing research on agile IS has mainly focused on the developers' perspective with little research into end users' responses to these agile IS. Drawing upon the tripartite model of attitude, the status quo and the omission bias theories, and the availability heuristic, we propose a model that utilizes constructs from the unified theory of acceptance and use of technology, the IS continuance model, habit, and individual differences to examine the drivers of user acceptance of agile IS. Further, we investigate not only users' intentions to continue using the agile IS but also their intentions to use new features when they are released, which is a surrogate for the ultimate success of agile IS. Data from 477 users of an agile IS showed that users' level of comfort with constant changes, the facilitating conditions provided, and users' habit are predictors of both types of intentions, with users' level of comfort with constant changes being the strongest predictor. Users' intentions to continue using agile IS are also determined by users' satisfaction with and perceived usefulness of the past upgrades. Finally, users who are innovative are more likely to use future releases of new features. The present work fills a gap in the software engineering literature and contributes a technology acceptance model specific to agile IS, which are becoming a mainstay of companies' IT portfolio in a fast-changing business environment.",Journal of Management Information Systems,28,2011,1,235,272
28, Hong Weiyin;  James Y. L. Thong;  Tam Kar Yan,The Effects of Information Format and Shopping Task on Consumers' Online Shopping Behavior: A Cognitive Fit Perspective, B2C e-commerce;  cognitive fit theory;  competition for attention theory;  e-commerce;  e-tailing;  information format;  interface design;  online shopping;  scanpath theory;  shopping task,"A feature central to the success of e-commerce Web sites is the design of an effective interface to present product information. However, the suitability of the prevalent information formats in supporting various online shopping tasks is not known. Using the cognitive fit theory as the theoretical framework, we developed a research model to investigate the fit between information format and shopping task, and examine its influence on consumers' online shopping performance and perceptions of shopping experience. The competition for attention theory from the marketing literature and the scanpath theory from vision research were employed to support the analyses. An experiment was conducted to examine the effects of two types of information formats (list versus matrix) in the context of two types of shopping tasks (searching versus browsing). The results show that when there is a match between the information format and the shopping task, consumers can search the information space more efficiently and have better recall of product information. Specifically, the list format better supports browsing tasks, and the matrix format facilitates searching tasks. However, a match between the information format and the shopping task has no effect on cognitive effort or attitude toward using the Web site. Overall, this research supports the application of the cognitive fit theory to the study of Web interface design. It also demonstrates the value in integrating findings from cognitive science and vision research to understand the processes involved. As the information format has been shown to affect consumers' online shopping behavior, even when the information content is held constant, the practical implications for Web site designers include providing both types of information format on their Web sites and matching the appropriate information format to the individual consumer's task.",Journal of Management Information Systems,21,2004,3,149,184
29, Hong Weiyin;  James Y. L. Thong;  Wong Wai-Man;  Tam Kar Yan,Determinants of User Acceptance of Digital Libraries: An Empirical Examination of Individual Differences and System Characteristics, computer self-efficacy;  digital libraries;  individual differences;  information technology acceptance;  technology acceptance model,"The explosion in Internet usage and huge government funding initiatives in digital libraries have drawn attention to research on digital libraries. Whereas the traditional focus of digital library research has been on the technological development, there is now a call for user-focused research. Although millions of dollars have been spent on building ""usable"" systems, research on digital libraries has shown that potential users may not use the systems in spite of their availability. There is a need for research to identify the factors that determine users' adoption of digital libraries. Using the technology acceptance model (TAM) as a theoretical framework, this study investigates the effect of a set of individual differences (computer self-efficacy and knowledge of search domain) and system characteristics (relevance, terminology, and screen design) on intention to use digital libraries. Based on a sample of 585 users of a university's award-winning digital library, the results strongly support the utilization of TAM in predicting users' intention to adopt digital libraries, and demonstrate the effects of critical external variables on behavior intention through perceived ease of use and perceived usefulness. All of the individual differences and system characteristics have significant effects on perceived ease of use of digital libraries. In addition, relevance has the strongest effect on perceived usefulness of digital libraries.",Journal of Management Information Systems,18,2001,3,97,124
30, Jay-Louise Weldon,Information System Design and Development,,,Journal of Management Information Systems,1,1984,3,3,4
31, Zhang Wen-Ran,POOL: A Semantic Model for Approximate Reasoning and Its Application in Decision Support, symbolic systems;  semantic systems;  linguistic similarity relations;  linguistic transitive closures;  approximate reasoning;  decision support systems,"POOLâ€”A Semantic Model for Approximate Reasoningâ€”is based on the theory of linguistic fuzzy relations (LFR) and linguistic similarity relations (LSR). The proposed model combines the advantages of linguistic representation and numerical computation. Hence, it can facilitate knowledge representation and approximate reasoning for object/concept relation modeling especially in an environment containing imprecision, ambiguity, and/or uncertainty, which is often the case faced by knowledge engineers in building decision support systems.",Journal of Management Information Systems,3,1987,4,65,78
32, Lawrence A. West,Researching the Costs of Information Systems, economies of scale;  information economics;  information services;  transaction costs,"This paper explores the issue of scale economies in the construction of information systems. Economic theory is used to identify transaction attributes that contribute to scale economies and the concept of an information system is then decomposed into separable components. Each component is analyzed with respect to the availability of one or more of the sources of scale economy. The analysis finds that each component possesses at least some potential for realizing scale economies and that some components may realize very large per-unit cost savings as scale of system use or capability is expanded. The implications of these findings for the organization of information services, including outsourcing, are highlighted and illustrated with consistent examples from IS-intensive industries. Future research is proposed with respect to the actual nature of IS scale economies; the presence of scope economies with respect to multicomponent systems; the relative importance of production costs, transaction costs, and benefits as determinants of acquisition choice; and the impact of IS acquisition method on the organization of firms and industries.",Journal of Management Information Systems,11,1994,2,75,107
